"analysis_set","term","estimate","std_error","statistic","p_value","response","predictor","n_taxa","lambda","lambda_fit_strategy","log_likelihood","AIC","fdr_family","fdr_p_value"
"main_dataset","(Intercept)",-486.029697287735,368.120812182567,-1.32029942671834,0.211364580346897,"abs_winding_angle_deg","log_centroid_size",14,0.626206498191809,"maximum_likelihood_bounded_0_1",-79.8644974775887,165.728994955177,"main_geometry_traits",
"main_dataset","log_centroid_size",154.944923785832,72.8850275666203,2.1258813909922,0.0549565529162695,"abs_winding_angle_deg","log_centroid_size",14,0.626206498191809,"maximum_likelihood_bounded_0_1",-79.8644974775887,165.728994955177,"main_geometry_traits",0.0824348293747066
"main_dataset","(Intercept)",-1.35008249246436,1.02255781161841,-1.3202994267166,0.211364580347461,"n_turns_abs","log_centroid_size",14,0.626206498193255,"maximum_likelihood_bounded_0_1",2.54095896271341,0.918082074573173,"main_geometry_traits",
"main_dataset","log_centroid_size",0.430402566071426,0.20245840990732,2.12588139099014,0.0549565529164711,"n_turns_abs","log_centroid_size",14,0.626206498193255,"maximum_likelihood_bounded_0_1",2.54095896271341,0.918082074573173,"main_geometry_traits",0.0824348293747066
"main_dataset","(Intercept)",0.0361581650106005,0.279633735780618,0.129305446317707,0.899258012840559,"start_end_dist","log_centroid_size",14,0,"maximum_likelihood_bounded_0_1",19.3143940069984,-32.6287880139968,"main_geometry_traits",
"main_dataset","log_centroid_size",0.0562473456722535,0.0535273347765964,1.05081536203903,0.314045175504829,"start_end_dist","log_centroid_size",14,0,"maximum_likelihood_bounded_0_1",19.3143940069984,-32.6287880139968,"main_geometry_traits",0.376854210605795
"main_dataset","(Intercept)",-0.442553915615995,0.271880729486487,-1.62775021404373,0.129531468549138,"axial_span","log_centroid_size",14,0,"maximum_likelihood_bounded_0_1",19.7080345939928,-33.4160691879856,"main_geometry_traits",
"main_dataset","log_centroid_size",0.113824985353601,0.0520432586072011,2.18712256687653,0.0492612636309208,"axial_span","log_centroid_size",14,0,"maximum_likelihood_bounded_0_1",19.7080345939928,-33.4160691879856,"main_geometry_traits",0.0824348293747066
"main_dataset","(Intercept)",-0.513584122611683,0.257938652044652,-1.99110958571179,0.0697336164973832,"axial_pitch_360","log_centroid_size",14,0.915342902028077,"maximum_likelihood_bounded_0_1",21.6403756600668,-37.2807513201336,"main_geometry_traits",
"main_dataset","log_centroid_size",0.132263253177037,0.0513685751042307,2.57478921517027,0.0243301001503516,"axial_pitch_360","log_centroid_size",14,0.915342902028077,"maximum_likelihood_bounded_0_1",21.6403756600668,-37.2807513201336,"main_geometry_traits",0.0824348293747066
"main_dataset","(Intercept)",0.236639592883972,0.105149724124034,2.25050131947881,0.0439574492507481,"fit_radius","log_centroid_size",14,1,"maximum_likelihood_bounded_0_1",33.1130904996395,-60.226180999279,"main_geometry_traits",
"main_dataset","log_centroid_size",-0.000122345608429061,0.0208866497831379,-0.005857598499489,0.995422592719232,"fit_radius","log_centroid_size",14,1,"maximum_likelihood_bounded_0_1",33.1130904996395,-60.226180999279,"main_geometry_traits",0.995422592719232
